antecedents,consequents,support,confidence,lift
frozenset({'whole milk'}),frozenset({'semi-finished bread'}),0.001670787943594199,0.0105797714769361,1.1148247930239075
frozenset({'semi-finished bread'}),frozenset({'whole milk'}),0.001670787943594199,0.176056338028169,1.1148247930239072
"frozenset({'rolls/buns', 'whole milk'})",frozenset({'yogurt'}),0.0013366303548753592,0.09569377990430622,1.1142926293448514
frozenset({'yogurt'}),"frozenset({'rolls/buns', 'whole milk'})",0.0013366303548753592,0.01556420233463035,1.1142926293448512
frozenset({'white bread'}),frozenset({'brown bread'}),0.0010024727661565194,0.04178272980501393,1.1104706679794378
frozenset({'brown bread'}),frozenset({'white bread'}),0.0010024727661565194,0.026642984014209593,1.1104706679794378
frozenset({'beef'}),frozenset({'curd'}),0.0012697988371315912,0.03740157480314961,1.110396356705412
frozenset({'curd'}),frozenset({'beef'}),0.0012697988371315912,0.037698412698412696,1.1103963567054118
frozenset({'yogurt'}),frozenset({'sausage'}),0.005747510525964045,0.0669260700389105,1.1089864739670185
frozenset({'sausage'}),frozenset({'yogurt'}),0.005747510525964045,0.09523809523809523,1.1089864739670185
"frozenset({'rolls/buns', 'other vegetables'})",frozenset({'soda'}),0.0011361358016440553,0.10759493670886075,1.108013102529032
frozenset({'soda'}),"frozenset({'rolls/buns', 'other vegetables'})",0.0011361358016440553,0.011699931176875431,1.108013102529032
frozenset({'frozen vegetables'}),frozenset({'bottled beer'}),0.001403461872619127,0.05011933174224343,1.1060996472849387
frozenset({'bottled beer'}),frozenset({'frozen vegetables'}),0.001403461872619127,0.030973451327433624,1.1060996472849387
frozenset({'frozen vegetables'}),frozenset({'root vegetables'}),0.002138608567800575,0.07637231503579953,1.0977511526231203
frozenset({'root vegetables'}),frozenset({'frozen vegetables'}),0.002138608567800575,0.030739673390970224,1.0977511526231203
"frozenset({'yogurt', 'whole milk'})",frozenset({'rolls/buns'}),0.0013366303548753592,0.11976047904191618,1.0886853267947703
frozenset({'rolls/buns'}),"frozenset({'yogurt', 'whole milk'})",0.0013366303548753592,0.012150668286755772,1.0886853267947703
frozenset({'bottled beer'}),frozenset({'fruit/vegetable juice'}),0.001670787943594199,0.03687315634218289,1.083954888699573
frozenset({'fruit/vegetable juice'}),frozenset({'bottled beer'}),0.001670787943594199,0.049115913555992145,1.083954888699573
"frozenset({'yogurt', 'rolls/buns'})",frozenset({'whole milk'}),0.0013366303548753592,0.17094017094017094,1.0824281751069733
frozenset({'whole milk'}),"frozenset({'yogurt', 'rolls/buns'})",0.0013366303548753592,0.008463817181548879,1.082428175106973
frozenset({'frankfurter'}),frozenset({'brown bread'}),0.0015371249081066632,0.04070796460176992,1.0819063487322973
frozenset({'brown bread'}),frozenset({'frankfurter'}),0.0015371249081066632,0.04085257548845471,1.081906348732297
frozenset({'rolls/buns'}),frozenset({'chocolate'}),0.002806923745238254,0.02551640340218712,1.0815919096513482
frozenset({'chocolate'}),frozenset({'rolls/buns'}),0.002806923745238254,0.11898016997167138,1.081591909651348
frozenset({'hamburger meat'}),frozenset({'bottled beer'}),0.0010693042839002875,0.0489296636085627,1.0798444787240762
frozenset({'bottled beer'}),frozenset({'hamburger meat'}),0.0010693042839002875,0.02359882005899705,1.079844478724076
